"customer_state","category_main","orders_cnt","delayed_rate","low_rating_rate","low_rating_rate_delayed","low_rating_rate_on_time","low_rating_lift","opportunity_score"
SP,"bed_bath_table",4220,0.0400,0.1242,0.5680,0.1057,0.4624,1951.3280
SP,"sports_leisure",3168,0.0436,0.0906,0.5725,0.0686,0.5038,1596.0384
SP,"health_beauty",3654,0.0534,0.0914,0.5026,0.0682,0.4343,1586.9322
SP,"housewares",2669,0.0401,0.0982,0.6168,0.0765,0.5403,1442.0607
SP,"furniture_decor",2599,0.0469,0.1231,0.5738,0.1009,0.4728,1228.8072
SP,"watches_gifts",2065,0.0479,0.1172,0.5960,0.0931,0.5029,1038.4885
SP,"computers_accessories",2576,0.0419,0.1308,0.5093,0.1143,0.3950,1017.5200
RJ,"bed_bath_table",1308,0.1483,0.2110,0.7268,0.1212,0.6056,792.1248
SP,"toys",1547,0.0401,0.0989,0.5806,0.0788,0.5019,776.4393
SP,"auto",1567,0.0542,0.1078,0.5412,0.0830,0.4582,717.9994
SP,"perfumery",1328,0.0550,0.1099,0.6027,0.0813,0.5215,692.5520
SP,"baby",1109,0.0586,0.0974,0.6154,0.0651,0.5503,610.2827
SP,"cool_stuff",1273,0.0393,0.0880,0.5200,0.0703,0.4497,572.4681
SP,"telephony",1476,0.0434,0.1301,0.5000,0.1133,0.3867,570.7692
RJ,"health_beauty",924,0.0877,0.1320,0.6914,0.0783,0.6131,566.5044
RJ,"computers_accessories",810,0.1210,0.1963,0.7857,0.1152,0.6705,543.1050
RJ,"sports_leisure",877,0.1403,0.1836,0.7154,0.0968,0.6186,542.5122
MG,"health_beauty",975,0.0410,0.0964,0.6250,0.0738,0.5512,537.4200
RJ,"furniture_decor",800,0.1213,0.2100,0.7526,0.1351,0.6174,493.9200
RJ,"housewares",705,0.0809,0.1589,0.7544,0.1065,0.6479,456.7695
MG,"sports_leisure",838,0.0370,0.0931,0.6129,0.0731,0.5398,452.3524
RJ,"watches_gifts",770,0.1390,0.2039,0.6822,0.1267,0.5555,427.7350
MG,"bed_bath_table",1084,0.0664,0.1651,0.5278,0.1393,0.3884,421.0256
MG,"computers_accessories",850,0.0482,0.1424,0.5366,0.1224,0.4142,352.0700
MG,"watches_gifts",596,0.0419,0.1158,0.6800,0.0911,0.5889,350.9844
SP,"garden_tools",1218,0.0304,0.0747,0.3514,0.0660,0.2853,347.4954
RJ,"toys",527,0.1044,0.1594,0.7455,0.0911,0.6544,344.8688
MG,"housewares",672,0.0372,0.1161,0.6000,0.0974,0.5026,337.7472
RJ,"garden_tools",523,0.1434,0.2103,0.7467,0.1205,0.6261,327.4503
RJ,"cool_stuff",473,0.1121,0.1860,0.7736,0.1119,0.6617,312.9841
