"customer_state","category_main","orders_cnt","delayed_rate","low_rating_rate","low_rating_rate_delayed","low_rating_rate_on_time","low_rating_lift","opportunity_score"
RJ,"electronics",386,0.1710,0.1943,0.6364,0.1031,0.5332,205.8152
RJ,"baby",324,0.1574,0.2099,0.7647,0.1062,0.6585,213.3540
BA,"telephony",216,0.1528,0.2222,0.5455,0.1639,0.3815,82.4040
RJ,"bed_bath_table",1308,0.1483,0.2110,0.7268,0.1212,0.6056,792.1248
RJ,"garden_tools",523,0.1434,0.2103,0.7467,0.1205,0.6261,327.4503
BA,"bed_bath_table",206,0.1408,0.2087,0.6897,0.1299,0.5597,115.2982
RJ,"sports_leisure",877,0.1403,0.1836,0.7154,0.0968,0.6186,542.5122
BA,"health_beauty",316,0.1392,0.1741,0.5227,0.1176,0.4051,128.0116
RJ,"watches_gifts",770,0.1390,0.2039,0.6822,0.1267,0.5555,427.7350
RJ,"stationery",286,0.1364,0.1678,0.7949,0.0688,0.7260,207.6360
PE,"health_beauty",216,0.1296,0.1343,0.6786,0.0532,0.6254,135.0864
RJ,"furniture_decor",800,0.1213,0.2100,0.7526,0.1351,0.6174,493.9200
RJ,"computers_accessories",810,0.1210,0.1963,0.7857,0.1152,0.6705,543.1050
SC,"furniture_decor",265,0.1208,0.1472,0.4688,0.1030,0.3657,96.9105
BA,"sports_leisure",243,0.1152,0.1770,0.6429,0.1163,0.5266,127.9638
BA,"watches_gifts",212,0.1132,0.1651,0.6250,0.1064,0.5186,109.9432
RJ,"cool_stuff",473,0.1121,0.1860,0.7736,0.1119,0.6617,312.9841
RJ,"office_furniture",208,0.1106,0.3077,0.9565,0.2270,0.7295,151.7360
SC,"bed_bath_table",260,0.1077,0.1731,0.6786,0.1121,0.5665,147.2900
RJ,"telephony",382,0.1073,0.1492,0.5610,0.0997,0.4613,176.2166
SC,"computers_accessories",255,0.1059,0.1412,0.5185,0.0965,0.4220,107.6100
RJ,"toys",527,0.1044,0.1594,0.7455,0.0911,0.6544,344.8688
RJ,"auto",394,0.1015,0.1523,0.6750,0.0932,0.5818,229.2292
GO,"health_beauty",204,0.0931,0.1176,0.6316,0.0649,0.5667,115.6068
SC,"housewares",214,0.0888,0.1308,0.4211,0.1026,0.3185,68.1590
RJ,"health_beauty",924,0.0877,0.1320,0.6914,0.0783,0.6131,566.5044
RS,"bed_bath_table",520,0.0846,0.1481,0.6591,0.1008,0.5583,290.3160
RJ,"perfumery",397,0.0831,0.1486,0.6667,0.1016,0.5650,224.3050
RJ,"housewares",705,0.0809,0.1589,0.7544,0.1065,0.6479,456.7695
DF,"health_beauty",218,0.0780,0.1147,0.6471,0.0697,0.5774,125.8732
