"customer_state","category_main","orders_cnt","delayed_rate","low_rating_rate","low_rating_rate_delayed","low_rating_rate_on_time","low_rating_lift","opportunity_score"
MG,"electronics",254,0.0512,0.1417,0.8462,0.1037,0.7424,188.5696
RJ,"office_furniture",208,0.1106,0.3077,0.9565,0.2270,0.7295,151.7360
RJ,"stationery",286,0.1364,0.1678,0.7949,0.0688,0.7260,207.6360
PR,"telephony",224,0.0446,0.1384,0.8000,0.1075,0.6925,155.1200
PR,"health_beauty",373,0.0429,0.0938,0.7500,0.0644,0.6856,255.7288
RS,"health_beauty",384,0.0677,0.1328,0.7692,0.0866,0.6826,262.1184
MG,"stationery",238,0.0336,0.0924,0.7500,0.0696,0.6804,161.9352
RJ,"computers_accessories",810,0.1210,0.1963,0.7857,0.1152,0.6705,543.1050
RJ,"cool_stuff",473,0.1121,0.1860,0.7736,0.1119,0.6617,312.9841
RJ,"baby",324,0.1574,0.2099,0.7647,0.1062,0.6585,213.3540
RJ,"toys",527,0.1044,0.1594,0.7455,0.0911,0.6544,344.8688
PR,"housewares",277,0.0289,0.1155,0.7500,0.0967,0.6533,180.9641
RJ,"housewares",705,0.0809,0.1589,0.7544,0.1065,0.6479,456.7695
PR,"sports_leisure",413,0.0484,0.0944,0.7000,0.0636,0.6364,262.8332
RJ,"garden_tools",523,0.1434,0.2103,0.7467,0.1205,0.6261,327.4503
PE,"health_beauty",216,0.1296,0.1343,0.6786,0.0532,0.6254,135.0864
RJ,"sports_leisure",877,0.1403,0.1836,0.7154,0.0968,0.6186,542.5122
RJ,"furniture_decor",800,0.1213,0.2100,0.7526,0.1351,0.6174,493.9200
RJ,"health_beauty",924,0.0877,0.1320,0.6914,0.0783,0.6131,566.5044
RJ,"bed_bath_table",1308,0.1483,0.2110,0.7268,0.1212,0.6056,792.1248
RS,"sports_leisure",408,0.0637,0.0931,0.6538,0.0550,0.5989,244.3512
RS,"computers_accessories",381,0.0499,0.1155,0.6842,0.0856,0.5986,228.0666
RS,"housewares",339,0.0649,0.1239,0.6818,0.0852,0.5966,202.2474
MG,"watches_gifts",596,0.0419,0.1158,0.6800,0.0911,0.5889,350.9844
MG,"auto",457,0.0591,0.1160,0.6667,0.0814,0.5853,267.4821
RJ,"auto",394,0.1015,0.1523,0.6750,0.0932,0.5818,229.2292
RS,"watches_gifts",221,0.0724,0.1493,0.6875,0.1073,0.5802,128.2242
MG,"baby",331,0.0695,0.1571,0.6957,0.1169,0.5788,191.5828
DF,"health_beauty",218,0.0780,0.1147,0.6471,0.0697,0.5774,125.8732
SP,"luggage_accessories",412,0.0194,0.0607,0.6250,0.0495,0.5755,237.1060
