"customer_state","seller_state","orders_cnt","delayed_rate","low_rating_rate"
AL,SP,253,0.2292,0.2372
MA,SP,485,0.1897,0.2268
SE,SP,206,0.1650,0.1990
PI,SP,324,0.1605,0.1698
RJ,SP,8052,0.1391,0.2023
CE,SP,962,0.1362,0.1663
BA,SP,2288,0.1267,0.1823
MS,SP,476,0.1239,0.1576
ES,SP,1449,0.1201,0.1456
RJ,PR,936,0.1186,0.1966
PA,SP,668,0.1153,0.1826
PB,SP,333,0.1021,0.1592
RN,SP,330,0.0970,0.1394
PE,SP,1119,0.0965,0.1546
BA,MG,357,0.0952,0.1289
SC,SP,2306,0.0937,0.1500
RJ,SC,463,0.0886,0.1771
RJ,MG,1112,0.0818,0.1241
SP,RJ,1289,0.0768,0.1288
GO,SP,1410,0.0730,0.1411
RJ,RS,236,0.0678,0.1483
RS,SP,3583,0.0650,0.1303
DF,SP,1368,0.0636,0.1469
SC,MG,245,0.0612,0.1143
MT,SP,644,0.0575,0.1258
MG,RJ,542,0.0554,0.1089
SC,PR,385,0.0519,0.0961
MG,SP,7383,0.0516,0.1253
RJ,RJ,931,0.0473,0.0913
SP,SP,30491,0.0458,0.1078
