"customer_state","seller_state","orders_cnt","delayed_rate","low_rating_rate"
SP,SP,30491,0.0458,0.1078
RJ,SP,8052,0.1391,0.2023
MG,SP,7383,0.0516,0.1253
RS,SP,3583,0.0650,0.1303
PR,SP,3102,0.0429,0.1196
SP,PR,2862,0.0297,0.0943
SP,MG,2485,0.0354,0.0934
SC,SP,2306,0.0937,0.1500
BA,SP,2288,0.1267,0.1823
MG,MG,1499,0.0254,0.0814
ES,SP,1449,0.1201,0.1456
GO,SP,1410,0.0730,0.1411
DF,SP,1368,0.0636,0.1469
SP,SC,1295,0.0371,0.1151
SP,RJ,1289,0.0768,0.1288
PE,SP,1119,0.0965,0.1546
RJ,MG,1112,0.0818,0.1241
CE,SP,962,0.1362,0.1663
RJ,PR,936,0.1186,0.1966
RJ,RJ,931,0.0473,0.0913
MG,PR,801,0.0375,0.1099
PR,PR,699,0.0272,0.0730
PA,SP,668,0.1153,0.1826
SP,RS,659,0.0121,0.0728
MT,SP,644,0.0575,0.1258
RS,PR,568,0.0423,0.0933
MG,RJ,542,0.0554,0.1089
MA,SP,485,0.1897,0.2268
MS,SP,476,0.1239,0.1576
RJ,SC,463,0.0886,0.1771
